Point X,Point Y,Point Z,Heading,Type,Move
-10513.2,-6621.5,0,0.455461,2,1
-10468.3,-6599.5,0,0.455461,2,1
-10423.4,-6577.51,0,0.455461,2,1
-10378.5,-6555.51,0,0.455461,2,1
-10333.6,-6533.52,0,0.455461,2,1
-10288.7,-6511.53,0,0.455461,2,1
-10243.8,-6489.53,0,0.455461,2,1
-10198.9,-6467.54,0,0.455461,2,1
-10154,-6445.54,0,0.455461,2,1
-10109.1,-6423.55,0,0.455461,2,1
-10064.2,-6401.56,0,0.455461,2,1
-10019.3,-6379.56,0,0.455461,2,1
-9974.39,-6357.57,0,0.455461,2,1
-9929.49,-6335.58,0,0.455461,2,1
-9884.59,-6313.58,0,0.455461,2,1
-9862.43,-6302.73,0,0.455461,2,1
-9862.43,-6302.73,0,0.455461,2,1
-9855.14,-6299.32,0,0.418879,2,1
-9855.14,-6299.32,0,0.418879,2,1
-9718.1,-6238.31,0,0.418879,4,1
13308.2,4013.67,0,0.418879,1,1
13582.3,4135.69,0,0.418879,5,1
13625.3,4161.02,0,0.646152,2,1
13661.4,4195.39,0,0.873424,2,1
13688.9,4237.02,0,1.1007,2,1
13706.4,4283.77,0,1.32797,2,1
13712.8,4333.25,0,1.55524,2,1
13707.9,4382.9,0,1.78252,2,1
13691.9,4430.18,0,2.00979,2,1
13665.8,4472.64,0,2.23706,2,1
13630.7,4508.12,0,2.46433,2,1
13588.5,4534.77,0,2.69161,2,1
13541.4,4551.24,0,2.91888,2,1
13491.8,4556.67,0,3.14615,2,1
13478.6,4556.21,0,3.2062,2,1
13478.6,4556.21,0,3.2062,2,1
13428.7,4552.99,0,3.2062,2,1
13378.8,4549.76,0,3.2062,2,1
13328.9,4546.53,0,3.2062,2,1
13279,4543.3,0,3.2062,2,1
13229.1,4540.07,0,3.2062,2,1
13179.2,4536.85,0,3.2062,2,1
13129.3,4533.62,0,3.2062,2,1
13079.4,4530.39,0,3.2062,2,1
13029.5,4527.16,0,3.2062,2,1
13018.3,4526.44,0,3.2062,2,1
13018.3,4526.44,0,3.2062,2,1
12969.2,4517.59,0,3.43347,2,1
12943.1,4507.88,0,3.56047,2,1
12943.1,4507.88,0,3.56047,2,1
12806,4446.87,0,3.56047,4,1
-5831.32,-3851.02,0,3.56047,1,1
-6105.39,-3973.04,0,3.56047,5,1
-6152.97,-3988.04,0,3.3332,2,1
-6202.71,-3991.92,0,3.10593,2,1
-6252.05,-3984.5,0,2.87865,2,1
-6298.45,-3966.15,0,2.65138,2,1
-6339.52,-3937.82,0,2.42411,2,1
-6373.15,-3900.97,0,2.19684,2,1
-6397.61,-3857.48,0,1.96956,2,1
-6411.64,-3809.61,0,1.74229,2,1
-6414.53,-3759.8,0,1.51502,2,1
-6406.11,-3710.62,0,1.28774,2,1
-6386.84,-3664.6,0,1.06047,2,1
-6357.69,-3624.11,0,0.833199,2,1
-6320.16,-3591.23,0,0.605926,2,1
-6291.64,-3574.49,0,0.455461,2,1
-6291.64,-3574.49,0,0.455461,2,1
-6246.74,-3552.5,0,0.455461,2,1
-6201.84,-3530.5,0,0.455461,2,1
-6156.93,-3508.51,0,0.455461,2,1
-6112.03,-3486.51,0,0.455461,2,1
-6067.13,-3464.52,0,0.455461,2,1
-6022.22,-3442.53,0,0.455461,2,1
-5977.32,-3420.53,0,0.455461,2,1
-5932.42,-3398.54,0,0.455461,2,1
-5887.52,-3376.55,0,0.455461,2,1
-5842.61,-3354.55,0,0.455461,2,1
-5797.71,-3332.56,0,0.455461,2,1
-5752.81,-3310.56,0,0.455461,2,1
-5707.9,-3288.57,0,0.455461,2,1
-5663,-3266.58,0,0.455461,2,1
-5618.1,-3244.58,0,0.455461,2,1
-5573.2,-3222.59,0,0.455461,2,1
